Strain,Company,Types,Categories,THC level,Price,Feelings,Flavor,Description,THC level numeric,Price numeric
Spiced Apple UP | 2:1,ayrloom,Hybrid,Drink,100mg,$30.00 ,"Calm,Happy,Relaxed,Energetic",Not Specified,"Enjoy uplifting sensory effects with sweet, citrusy pink lemonade flavors. refresh + invigorate with an inspiring combination of THC + CBC to help foster a creative mood boost, perfect for an afternoon pick-me-up.INGREDIENTS TAPIOCA SYRUP, CANE SUGAR, PECTIN, NATURAL FLAVORS, CITRIC ACID, SODIUM CITRATE, CANNABIS EXTRACT, NATURAL COLORS (FROM FRUIT AND VEGETABLE EXTRACTS)INSTRUCTIONS TAKE 1 GUMMY AND WAIT AT LEAST 1 HOUR TO FEEL EFFECT BEFORE CONSUMING MORE. STORE IN A COOL, DRY PLACE.",100,30
Sugar Plum UP | 2:1,ayrloom,Hybrid,Drink,100mg,$30.00 ,"Calm,Happy,Relaxed,Energetic",Not Specified,"Enjoy uplifting sensory effects with sweet, citrusy pink lemonade flavors. refresh + invigorate with an inspiring combination of THC + CBC to help foster a creative mood boost, perfect for an afternoon pick-me-up.INGREDIENTS TAPIOCA SYRUP, CANE SUGAR, PECTIN, NATURAL FLAVORS, CITRIC ACID, SODIUM CITRATE, CANNABIS EXTRACT, NATURAL COLORS (FROM FRUIT AND VEGETABLE EXTRACTS)INSTRUCTIONS TAKE 1 GUMMY AND WAIT AT LEAST 1 HOUR TO FEEL EFFECT BEFORE CONSUMING MORE. STORE IN A COOL, DRY PLACE.",100,30
Sunny Days Gummies,ayrloom,Hybrid,Drink,100mg,$30.00 ,"Calm,Happy,Relaxed,Energetic",Not Specified,"Enjoy uplifting sensory effects with sweet, citrusy pink lemonade flavors. refresh + invigorate with an inspiring combination of THC + CBC to help foster a creative mood boost, perfect for an afternoon pick-me-up.INGREDIENTS TAPIOCA SYRUP, CANE SUGAR, PECTIN, NATURAL FLAVORS, CITRIC ACID, SODIUM CITRATE, CANNABIS EXTRACT, NATURAL COLORS (FROM FRUIT AND VEGETABLE EXTRACTS)INSTRUCTIONS TAKE 1 GUMMY AND WAIT AT LEAST 1 HOUR TO FEEL EFFECT BEFORE CONSUMING MORE. STORE IN A COOL, DRY PLACE.",100,30
Sunny Days Pink Lemonade UP | 2:1,ayrloom,Hybrid,Drink,100mg,$30.00 ,"Calm,Happy,Relaxed,Energetic",Not Specified,"Enjoy uplifting sensory effects with sweet, citrusy pink lemonade flavors. refresh + invigorate with an inspiring combination of THC + CBC to help foster a creative mood boost, perfect for an afternoon pick-me-up.INGREDIENTS TAPIOCA SYRUP, CANE SUGAR, PECTIN, NATURAL FLAVORS, CITRIC ACID, SODIUM CITRATE, CANNABIS EXTRACT, NATURAL COLORS (FROM FRUIT AND VEGETABLE EXTRACTS)INSTRUCTIONS TAKE 1 GUMMY AND WAIT AT LEAST 1 HOUR TO FEEL EFFECT BEFORE CONSUMING MORE. STORE IN A COOL, DRY PLACE.",100,30
Pillow Talk UP | 2:1,ayrloom,Hybrid,Drink,100mg,$30.00 ,"Calm,Happy,Relaxed,Energetic",Not Specified,"Enjoy uplifting sensory effects with sweet, citrusy pink lemonade flavors. refresh + invigorate with an inspiring combination of THC + CBC to help foster a creative mood boost, perfect for an afternoon pick-me-up.INGREDIENTS TAPIOCA SYRUP, CANE SUGAR, PECTIN, NATURAL FLAVORS, CITRIC ACID, SODIUM CITRATE, CANNABIS EXTRACT, NATURAL COLORS (FROM FRUIT AND VEGETABLE EXTRACTS)INSTRUCTIONS TAKE 1 GUMMY AND WAIT AT LEAST 1 HOUR TO FEEL EFFECT BEFORE CONSUMING MORE. STORE IN A COOL, DRY PLACE.",100,30
Orchard Sunrise UP | 2:1,ayrloom,Hybrid,Drink,100mg,$30.00 ,"Calm,Happy,Relaxed,Energetic",Not Specified,"Enjoy uplifting sensory effects with sweet, citrusy pink lemonade flavors. refresh + invigorate with an inspiring combination of THC + CBC to help foster a creative mood boost, perfect for an afternoon pick-me-up.INGREDIENTS TAPIOCA SYRUP, CANE SUGAR, PECTIN, NATURAL FLAVORS, CITRIC ACID, SODIUM CITRATE, CANNABIS EXTRACT, NATURAL COLORS (FROM FRUIT AND VEGETABLE EXTRACTS)INSTRUCTIONS TAKE 1 GUMMY AND WAIT AT LEAST 1 HOUR TO FEEL EFFECT BEFORE CONSUMING MORE. STORE IN A COOL, DRY PLACE.",100,30
Juicy Secret UP | 2:1,ayrloom,Hybrid,Drink,100mg,$30.00 ,"Calm,Happy,Relaxed,Energetic",Not Specified,"Enjoy uplifting sensory effects with sweet, citrusy pink lemonade flavors. refresh + invigorate with an inspiring combination of THC + CBC to help foster a creative mood boost, perfect for an afternoon pick-me-up.INGREDIENTS TAPIOCA SYRUP, CANE SUGAR, PECTIN, NATURAL FLAVORS, CITRIC ACID, SODIUM CITRATE, CANNABIS EXTRACT, NATURAL COLORS (FROM FRUIT AND VEGETABLE EXTRACTS)INSTRUCTIONS TAKE 1 GUMMY AND WAIT AT LEAST 1 HOUR TO FEEL EFFECT BEFORE CONSUMING MORE. STORE IN A COOL, DRY PLACE.",100,30
Restore Topical,ayrloom,Hybrid,Drink,1000mg,$55.00 ,Relaxed,Not Specified,"Restore is a 1000mg of THC : 1000mg of CBD whick includes ORGANIC REFINED SHEA BUTTER, ORGANIC COCONUT MCT OIL, ORGANIC BEESWAX, CANNABIS EXTRACT, ORGANIC LAVENDER ESSENTIAL OIL, ORGANIC EUCALYPTUS ESSENTIAL OIL, ORGANIC ROSEMARY ESSENTIAL OIL.",1000,55
Restore Topical,ayrloom,Hybrid,Drink,1000mg,$55.00 ,Relaxed,Not Specified,"Restore is a 1000mg of THC : 1000mg of CBD whick includes ORGANIC REFINED SHEA BUTTER, ORGANIC COCONUT MCT OIL, ORGANIC BEESWAX, CANNABIS EXTRACT, ORGANIC LAVENDER ESSENTIAL OIL, ORGANIC EUCALYPTUS ESSENTIAL OIL, ORGANIC ROSEMARY ESSENTIAL OIL.",1000,55
Milk Chocolate | Infused | 100mg,Hysteria,Hybrid,Edibles,70mg,$40.00 ,"Happy,Relaxed,Focused",mint,"melt-in-your-mouth, smooth, sophisticated finish is here to melt away tension and uplift your spirit with each bite. These innovative edibles are the perfect evening activity. Feel relaxed, calm, and allow your mind to unwind from daily stress.",70,40
Dark Chocolate | Infused | 100mg,Hysteria,Hybrid,Edibles,70mg,$40.00 ,"Calm,Happy,Relaxed,Energetic",Not Specified,"Our Classic Dark Chocolates are infused with 10mg THC per serving. Delicious, rich, melt-in-your-mouth, smooth, sophisticated finish is here to melt away tension and uplift your spirit with each bite. These innovative edibles are the perfect evening activity. Feel relaxed, calm, and allow your mind to unwind from daily stress",70,40
Cookies & Cream | Infused | 100mg,Hysteria,Hybrid,Edibles,100mg,$40.00 ,N/A,Not Specified,N/A,100,40
Strawberry x Honey Banana | Live Rosin Gummies,MFNY,Hybrid,Edibles,100mg,$30.00 ,"Calm,Happy,Relaxed,Energetic",Not Specified,"These palate-pleasing Strawberry Honey Banana gummies are unlike any other edibles you've tried. Our vegan, full-spectrum gummies are infused with MFNY?s premium Honey Banana live rosin extract. Superior to distillate, live rosin is made via solventless extraction from premium fresh frozen plants, preserving all the natural terpenes and dazzling sweet and fruity flavors of the Honey Banana strain, paired with the natural flavor of ripe strawberry.",100,30
Cherry x Poddy Mouth | Rosin Gummies,MFNY,Hybrid,Edibles,100mg,$30.00 ,"Calm,Energetic,Happy,Relaxed",Not Specified,"These palette-pleasing Cherry Mouth gummies are unlike any other edibles you've tried. Our vegan, full-spectrum gummies are infused with MFNY?s premium Poddy Mouth live rosin extract. Superior to distillate, live rosin is made via solventless extraction from premium fresh frozen plants, preserving all the natural terpenes and dazzling earthy and savory flavors of the Poddy Mouth strain, paired with the natural flavor of ripe cherry.",100,30
Watermelon Fritter | Rosin Gummies,MFNY,Hybrid,Edibles,100mg,$30.00 ,"Calm,Energetic,Happy,Telaxed",Not Specified,"These mouth-watering Watermelon Fritter gummies are unlike any other edibles you've tried. Our vegan, full-spectrum gummies are infused with MFNY?s premium Apple Fritter live rosin extract. Superior to distillate, live rosin is made via solventless extraction from premium fresh frozen plants, preserving all the natural terpenes and tantalizing earthy flavors of the Apple Fritter strain, paired with the natural flavor of watermelon.",100,30
Peach x Rainbow Beltz | Rosin Gummies | 50mg,MFNY,Hybrid,Edibles,100mg,$21.00 ,"Happy,Relaxed,Calm,Energetic",Not Specified,"These palate-pleasing Raspberry x Rainbow Beltz 2.0 gummies are unlike any other edibles you've tried. Our vegan, full-spectrum gummies are infused with MFNY?s premium Rainbow Beltz 2.0 live rosin extract. Superior to distillate, live rosin is made via solventless extraction from premium fresh frozen plants, preserving all the natural terpenes and dazzling sweet and fruity flavors of the Rainbow Beltz 2.0 strain, paired with the natural flavor of ripe raspberry.",100,21
Strawberry x Strawpaya | Rosin Gummies | 100mg,MFNY,Hybrid,Edibles,100mg,$21.00 ,"Happy,Relaxed,Calm,Energetic",Not Specified,"These palate-pleasing Raspberry x Rainbow Beltz 2.0 gummies are unlike any other edibles you've tried. Our vegan, full-spectrum gummies are infused with MFNY?s premium Rainbow Beltz 2.0 live rosin extract. Superior to distillate, live rosin is made via solventless extraction from premium fresh frozen plants, preserving all the natural terpenes and dazzling sweet and fruity flavors of the Rainbow Beltz 2.0 strain, paired with the natural flavor of ripe raspberry.",100,21
Blueberry x Oishii | Rosin Gummies | 100mg,MFNY,Hybrid,Edibles,100mg,$30.00 ,"Calm,Energetic,Happy,Telaxed",Not Specified,"These mouth-watering Watermelon Fritter gummies are unlike any other edibles you've tried. Our vegan, full-spectrum gummies are infused with MFNY?s premium Apple Fritter live rosin extract. Superior to distillate, live rosin is made via solventless extraction from premium fresh frozen plants, preserving all the natural terpenes and tantalizing earthy flavors of the Apple Fritter strain, paired with the natural flavor of watermelon.",100,30
Pink Lemonade | Rosin Gummies,MFNY,Hybrid,Edibles,100mg,$30.00 ,"Energetic,Focused,Uplifted","lemon,pepper,citrus","A must for edible lovers, these palate-pleasing Pink Lemonade x Lemoncane gummies are unlike any other edibles you've tried. Our vegan, full-spectrum, cultivar-specific gummies are infused with MFNY?s premium Lemoncane live rosin extract. Superior to distillate, live rosin is made via solventless extraction from premium fresh frozen plants, preserving all the natural terpenes. We use the minimum amount of sugar to highlight the spicy pineapple flavors of the Pinezapple, paired with natural flavors of pineapple.",100,30
Black Cherry | 10mg | Single Can,Tune,Hybrid,Edibles,10mg,$5.00 ,"Relaxed,Happy,Calm,Energetic",Not Specified,"10mg Infused Seltzer - Made with Real Juice - Sweetened with Honey - Low Calorie Get ready to tune in and soak up summer vibes with our Sicilian Lemon & Rose 10mg infused seltzer. We've taken classic lemonade and given it a fun twist with a hint of delicate rose. In each low-calorie can, you'll find 10mg of THC, real lemon juice, and a touch of honey. .",10,5
Sicilian Lemon & Rose | 10mg | Single Can,Tune,Hybrid,Edibles,10mg,$5.00 ,"Relaxed,Happy,Calm,Energetic",Not Specified,"10mg Infused Seltzer - Made with Real Juice - Sweetened with Honey - Low Calorie Get ready to tune in and soak up summer vibes with our Sicilian Lemon & Rose 10mg infused seltzer. We've taken classic lemonade and given it a fun twist with a hint of delicate rose. In each low-calorie can, you'll find 10mg of THC, real lemon juice, and a touch of honey. .",10,5
Blueberry Dreams | CBN | 100mg,Cannabals,Hybrid,Edibles,100mg,$22.00 ,"Energetic,Happy,Creative,Focused,Inspired,Calm",Not Specified,"Experience the incredible advantages of cannabis without delay with CANNABALS ""Cannabis you can eat!"" Indulge in our fast-acting blueberry dream flavored indica gummies, infused with an impressive 100mg of CBN per package. Each package contains 10 vegan gummies, providing 5mg of nano-emulsified water soluble THC + 5mg of CBN in every delectable bite. Savor the authentic fruit flavor as you relish in the benefits of our premium gummies. In addition to the incredible advantages of cannabis, our CANNABALS blueberry dream flavored indica gummies are specifically formulated to promote sleep and relaxation. The inclusion of 5mg of CBN per gummy enhances the sedative effects, making these gummies perfect for those seeking a restful night's sleep or a moment of deep relaxation. CBN is known for its calming properties and ability to induce a sense of tranquility, making it an ideal choice for those looking to unwind after a long day. With our fast-acting nano-emulsified technology, you can experience the soothing effects of CBN quickly and efficiently. So, whether you're struggling with insomnia or simply need a moment of relaxation, our CANNABALS gummies are here to help you achieve a peaceful state of mind.",100,22
Mango | 100mg,Cannabals,Hybrid,Edibles,100mg,$22.00 ,"Energetic,Happy,Creative,Focused,Inspired,Calm",Not Specified,"Experience the luscious and tropical taste of ripe mangoes with our CANNABALS Mango flavored sativa gummies! These delectable treats not only provide a burst of fruity flavor, but they also offer a fast-acting and potent cannabis experience. Thanks to our innovative nano-emulsified technology, the THC in our gummies is broken down into tiny particles that are easily absorbed by the body. This means that you can start feeling the effects within minutes, allowing you to enjoy the benefits of cannabis without delay. Each package contains 10 vegan gummies, with each gummy delivering a potent 10mg of nano-emulsified water soluble THC. This ensures that you get a consistent and reliable dose with every bite. And with the succulent and tropical taste of ripe mangoes, you'll savor every moment of your cannabis experience. Don't miss out on the mouthwatering sensation - try our Mango flavored sativa gummies today and elevate your cannabis experience to new heights. CANNABALS - cannabis you can eat, with a delicious mango twist!",100,22
Bangin Blueberrv | Gummies | 100mg,Gezoont,Hybrid,Edibles,100mg,$24.00 ,Happy,Not Specified,"Our Bangin Blueberry Gummies are made from the same recipe that won first place in the 2016 Santa Cruz Cup.Hand crafted in small batches we only use real fruit and our finest premium, house made, full spectrum CO2 oil.Indulge in all-natural perfection, elevate, and embrace THC bliss in every moment as nature's power unfolds.Gezoont, Where Culinary Chef and Cannabis Blend....****All our gummies deliver calm, happy, and uplifting effects****",100,24
Kims Karamels | 100mg,Gezoont,Hybrid,Edibles,100mg,$25.00 ,Happy,Not Specified,"Kim?s Caramels are hand crafted in small batches with our in-house made, full spectrum Distillate. Soft, velvety caramels that will melt in your mouth and melt your stress away. Indulge in all-natural perfection, elevate, and embrace THC bliss in every moment as nature's power unfolds.****All our Caramels deliver calm, happy, and uplifting effects****",100,25
Yuzu Lemon 1:1 | Camino | Balance | 100mg,Kiva,Hybrid,Edibles,100mg,$33.00 ,"Relaxed,Clear mind,Calm,Happy",Not Specified,"Harmony is here and now. Dip your feet into the slow current of a cool river. Let the blend of THC and CBD, hybrid-like terpenes, and sweet notes of citrus balance you from the inside out.",100,33
Dark Chocolate with Quinoa Crunch | 20mg,Scandalous,Hybrid,Edibles,20mg,$10.00 ,N/A,Not Specified,"20 mg THC Single sourced Colombian dark chocolate blended with crispy quinoa crunch to create a great tasting, rich cannabis edible.All natural, gluten free, vegan, single source, fair trade.1 Chocolate, 2 servnigs per package. 10mg THC per serving At Scandalous Chocolates, we are deeply committed to quality and sustainability.We source all-natural cacao products from South American farmers who have upheld over a century of fair practice agriculture. This ensures that every ingredient in our chocolates meets the highest standards of purity and flavor. Our carefully handcrafted products are meticulously made, surprisingly affordable and conveniently packaged for the ultimate scandalous experience.",20,10
Matcha Latte Caramel | 10mg 2 Pack,Soft Power Sweets,Hybrid,Edibles,10mg,$12.00 ,"Relaxed,Sleepy,Happy",Not Specified,"A smooth matcha latte caramel made with coconut milk and maple syrup and enriched with white chocolate. Two 10mg THC Caramels Per Unit, 20mg Total",10,12
Raspberry Rainbow Caramel | 2 Pack | 20mg,Soft Power Sweets,Hybrid,Edibles,20mg,$12.00 ,"Relaxed,Clear mind,Calm,Sleepy,Happy",Not Specified,"A bright, fruity, raspberry caramel infused with almond for beautiful marzipan flavor - a rainbow cookie turned into a lush confection. Two 10mg THC Caramels Per Unit, 20mg Total",20,12
Dulce De Leche Caramel | 10mg 2 Pack,Soft Power Sweets,Hybrid,Edibles,20mg,$12.00 ,N/A,Not Specified,"A bright, fruity, raspberry caramel infused with almond for beautiful marzipan flavor - a rainbow cookie turned into a lush confection. Two 10mg THC Caramels Per Unit, 20mg Total",20,12
"High, I Love You | Chocolate | 5 Pack | 50mg",Soft Power Sweets,Hybrid,Edibles,50mg,$25.00 ,Happy,Not Specified,"Soft Power Sweets presents ?High, I Love You?, our take on a classic Valentine?s chocolate tin. It features five 10mg solid hearts in just-dark-enough 65% single origin Ecuadorian chocolate, each one hand-painted in shimmering Valentine?s hues. Say ?High, I Love You? with the best ethically sourced chocolate paired with NY?s best sustainably grown cannabis.",50,25
TTM | Astro Apple | 100mg,To The Moon,Hybrid,Edibles,100mg,$30.00 ,"Energetic,Happy,Creative,Focused,Inspired,Uplifted",Not Specified,"Edibles are created either by infusing cooking oil or butter with cannabis extract, or by mixing extract directly into other ingredients. Because edibles are digested and absorbed by your stomach and liver, the activation is often longer than other consumption methods, taking on average 45 minutes, and sometimes up to 2 hours. It is important to start low and slow when consuming edibles so you don't over do it. Take extra caution to ensure edibles are out of the reach of children.",100,30
TTM | Mystery Moon | 100mg,To The Moon,Hybrid,Edibles,100mg,$30.00 ,"Calm,Happy,Relaxed,Energetic,Uplifted,Creative",Not Specified,"Edibles are created either by infusing cooking oil or butter with cannabis extract, or by mixing extract directly into other ingredients. Because edibles are digested and absorbed by your stomach and liver, the activation is often longer than other consumption methods, taking on average 45 minutes, and sometimes up to 2 hours. It is important to start low and slow when consuming edibles so you don't over do it. Take extra caution to ensure edibles are out of the reach of children.",100,30
TTM | The Grape Gazoo | 100mg,To The Moon,Hybrid,Edibles,100mg,$30.00 ,"Calm,Happy,Relaxed,Energetic,Uplifted,Creative,Uplifted,Inspired",Not Specified,"Edibles are created either by infusing cooking oil or butter with cannabis extract, or by mixing extract directly into other ingredients. Because edibles are digested and absorbed by your stomach and liver, the activation is often longer than other consumption methods, taking on average 45 minutes, and sometimes up to 2 hours. It is important to start low and slow when consuming edibles so you don't over do it. Take extra caution to ensure edibles are out of the reach of children.",100,30
Hard Cider,Aeterna,Hybrid,Flower,22%,$50.00 ,"focused,Happy,Relaxed,Energetic",Not Specified,Dried cannabis flower is primarily ingested via inhalation. Activation time is roughly about 5 minutes and can last up to a few hours.,22,50
Gushers | Jar,Dank,Hybrid,Flower,31%,$53.00 ,"focused,Happy,Relaxed,Energetic",Not Specified,Dried cannabis flower is primarily ingested via inhalation. Activation time is roughly about 5 minutes and can last up to a few hours.,31,53
Fire OG,Dank,Hybrid,Flower,28.70%,$44.00 ,"Hungry,Sleepy,Euphoric","lemon,spicy herbal,pine","Fire OG, also known as ""Fire OG Kush,"" is a indica-dominant hybrid marijuana strain made by crossing OG Kush and SFV OG Kush. This strain has an aroma similar to Lemon Pledge and has euphoric effects that are potent and long-lasting. Fire OG is one of the strongest OG strains, and is a fan favorite among consumers who have a high THC tolerance. Fire OG gets its name from the frosty red hairs that make the strain appear to look like it is on fire. Fire OG plants typically flower in 9-10 weeks.",28,44
Cheetah Piss | 3.5g,DEALER CANNABIS CO.,Hybrid,Flower,21.59%,$26.00 ,"focused,Happy,Relaxed,Energetic",Not Specified,Dried cannabis flower is primarily ingested via inhalation. Activation time is roughly about 5 minutes and can last up to a few hours.,21,26
Kush Mints| 3.5g,DEALER CANNABIS CO.,Hybrid,Flower,21.52%,$26.00 ,"Relaxed,Aroused,Euphoric","mint,Menthol","Kush Mints is a hybrid weed strain made from a genetic cross between Animal Mints and Bubba Kush. This strain is 50% sativa and 50% indica. Kush Mints is a potent and flavorful strain that has a minty and cookie-like aroma and flavor, with hints of gas and pine. It has a balanced high that is both relaxing and euphoric, with a pleasant body buzz and a creative mind. Kush Mints is 28% THC, making this strain an ideal choice for experienced cannabis consumers. Leafly customers tell us Kush Mints effects include feeling relaxed, euphoric, and aroused. Medical marijuana patients often choose Kush Mints when dealing with symptoms associated with anxiety, stress, and depression. Bred by Mr. Nice Seeds, Kush Mints features flavors like mint, menthol, and pine. The dominant terpene of this strain is limonene. The average price of Kush Mints typically ranges from $15-$20 per gram. Kush Mints is a rare and exclusive strain that is not widely available, so if you find it at your local dispensary, don?t hesitate to try it out. If you?ve smoked, dabbed, or consumed Kush Mints, tell us about your experience by leaving a strain review.",21,26
Grandi Guava,Florist Farms,Hybrid,Flower,28%,$70.00 ,"focused,Happy,Relaxed,Energetic,Focused,Uplifted",Not Specified,"An incredible cross that?ll let you have your cake and eat it too. This strain shows its colors with classic purple-green lacing and a healthy frost. Ripe fruit from the Gelato lineage pull through on the nose with a blue-cheese undertone, this strain is the whole charcuterie board. Extremely relaxing to the body, this strain will also help quiet the mind and provide much-needed tranquility.",28,70
Peanut Butter Breath,Platinum Reserve,Hybrid,Flower,30.45%,$46.00 ,"Relaxed,Sleepy,Hungry","nutty,butter,chestnut","Peanut Butter Breath, also known as ""Peanut Butter"" and ""Peanut Breath,"" is a hybrid marijuana strain known for its sedating effects. Crossed with Do-Si-Dos and Mendo Breath, Peanut Butter Breath has a unique nutty and earthy terpene profile when smoked. Beyond the terps, this strain will bring you down into a quality state of chill and relaxation. Originally from ThugPug Genetics, Peanut Butter Breath is very popular and there are many Do-Si-Dos and Mendo Breath crosses out there?breeders Clout King have one called ?Peanut Butter Cup.?",30,46
